Price,Beds,Baths,Area,Location score
24 Crore,6,6,500 Sq. Yd.,5
25 Crore,6,7,500 Sq. Yd.,5
55 Crore,7,7,"1,000 Sq. Yd.",5
42 Crore,6,7,666 Sq. Yd.,5
21.75 Crore,6,6,500 Sq. Yd.,5
19.49 Crore,5,4,"1,000 Sq. Yd.",5
11.95 Crore,5,6,300 Sq. Yd.,5
24 Crore,6,6,500 Sq. Yd.,5
42 Crore,7,6,666 Sq. Yd.,5
2.75 Crore,2,3,113 Sq. Yd.,5
39 Crore,6,7,"1,000 Sq. Yd.",5
39 Crore,6,7,"1,000 Sq. Yd.",5
16 Crore,5,6,500 Sq. Yd.,5
18 Crore,6,6,500 Sq. Yd.,5
18 Crore,6,6,500 Sq. Yd.,5
15.5 Crore,6,6,500 Sq. Yd.,5
11.75 Crore,3,4,500 Sq. Yd.,5
1 Arab,6,6,"2,000 Sq. Yd.",5
4.63 Crore,1,1,104 Sq. Yd.,5
4.63 Crore,1,1,104 Sq. Yd.,5
45 Crore,10,6,"1,000 Sq. Yd.",5
20 Crore,6,6,500 Sq. Yd.,5
35 Crore,6,6,666 Sq. Yd.,5
18.5 Crore,6,6,500 Sq. Yd.,5
19.25 Crore,5,5,500 Sq. Yd.,5
5.5 Crore,2,2,700 Sq. Yd.,5
3.95 Crore,3,3,267 Sq. Yd.,5
4.5 Crore,3,4,200 Sq. Yd.,5
6.25 Crore,3,3,267 Sq. Yd.,5
4.15 Crore,3,3,250 Sq. Yd.,5
2.5 Crore,3,3,200 Sq. Yd.,5
5.9 Crore,3,5,261 Sq. Yd.,5
6.25 Crore,3,5,272 Sq. Yd.,5
3.4 Crore,3,3,222 Sq. Yd.,5
6 Crore,3,3,272 Sq. Yd.,5
4.5 Crore,3,3,179 Sq. Yd.,5
2.75 Crore,2,3,167 Sq. Yd.,5
2.65 Crore,3,3,200 Sq. Yd.,5
4 Crore,3,3,192 Sq. Yd.,5
4.5 Crore,3,4,222 Sq. Yd.,5
3.9 Crore,3,4,239 Sq. Yd.,5
5 Crore,3,4,317 Sq. Yd.,5
4.6 Crore,3,4,201 Sq. Yd.,5
4.5 Crore,3,4,239 Sq. Yd.,5
4 Crore,3,3,294 Sq. Yd.,5
6.5 Crore,4,4,250 Sq. Yd.,5
6.5 Crore,3,4,244 Sq. Yd.,5
5.5 Crore,3,4,251 Sq. Yd.,5
5.1 Crore,4,5,356 Sq. Yd.,5
3 Crore,3,4,178 Sq. Yd.,5
22.5 Crore,7,6,"1,000 Sq. Yd.",4
4 Crore,4,5,244 Sq. Yd.,4
4 Crore,4,4,300 Sq. Yd.,4
50 Crore,11,7,"2,000 Sq. Yd.",4
2.2 Crore,4,3,178 Sq. Yd.,4
2.2 Crore,N/A,2,100 Sq. Yd.,4
16 Crore,11,6,"1,000 Sq. Yd.",4
50 Crore,N/A,N/A,"2,000 Sq. Yd.",4
6.25 Crore,N/A,N/A,250 Sq. Yd.,4
9 Crore,5,5,500 Sq. Yd.,4
18.75 Crore,6,6,600 Sq. Yd.,4
26.5 Crore,5,6,"1,000 Sq. Yd.",4
50 Crore,6,6,"2,000 Sq. Yd.",4
30 Crore,10,6,"1,000 Sq. Yd.",4
16.7 Crore,8,7,"1,000 Sq. Yd.",4
4.9 Crore,4,6,300 Sq. Yd.,4
10.5 Crore,5,5,250 Sq. Yd.,4
1.5 Crore,2,2,122 Sq. Yd.,4
3.5 Crore,3,3,178 Sq. Yd.,4
9 Crore,7,6,520 Sq. Yd.,4
4 Crore,4,5,244 Sq. Yd.,4
3 Crore,4,4,240 Sq. Yd.,4
12.5 Crore,5,5,250 Sq. Yd.,4
11 Crore,N/A,N/A,250 Sq. Yd.,4
10.5 Crore,N/A,N/A,250 Sq. Yd.,4
1.5 Crore,3,3,161 Sq. Yd.,4
6.4 Crore,6,7,240 Sq. Yd.,4
2.1 Crore,3,3,211 Sq. Yd.,4
1.5 Crore,3,3,126 Sq. Yd.,4
2 Crore,3,3,156 Sq. Yd.,4
2 Crore,2,2,100 Sq. Yd.,4
3.7 Crore,3,4,267 Sq. Yd.,4
3.2 Crore,3,3,267 Sq. Yd.,4
1.8 Crore,3,3,120 Sq. Yd.,4
3.5 Crore,4,4,237 Sq. Yd.,4
3.8 Crore,3,4,267 Sq. Yd.,4
3.78 Crore,4,4,300 Sq. Yd.,4
1.15 Crore,3,2,140 Sq. Yd.,4
3.45 Crore,3,4,267 Sq. Yd.,4
3.15 Crore,3,4,267 Sq. Yd.,4
1.55 Crore,3,3,133 Sq. Yd.,4
1.78 Crore,3,3,133 Sq. Yd.,4
2 Crore,2,2,100 Sq. Yd.,4
3.6 Crore,4,4,150 Sq. Yd.,4
1.1 Crore,2,2,100 Sq. Yd.,4
3.75 Crore,3,3,267 Sq. Yd.,4
1.15 Crore,2,2,111 Sq. Yd.,4
3.35 Crore,4,5,135 Sq. Yd.,4
1.35 Crore,2,3,111 Sq. Yd.,4
95 Lakh,2,2,100 Sq. Yd.,4
72 Lakh,3,3,139 Sq. Yd.,4
73 Lakh,2,2,122 Sq. Yd.,4
1.6 Crore,3,3,169 Sq. Yd.,4
65 Lakh,2,2,111 Sq. Yd.,4
95 Lakh,3,3,140 Sq. Yd.,4
2 Crore,3,3,178 Sq. Yd.,4
60 Lakh,2,2,110 Sq. Yd.,4
1.15 Crore,3,3,144 Sq. Yd.,4
3.95 Crore,4,4,240 Sq. Yd.,4
47 Lakh,2,2,100 Sq. Yd.,4
65 Lakh,3,3,139 Sq. Yd.,4
68 Lakh,2,2,94 Sq. Yd.,4
64.75 Lakh,2,2,111 Sq. Yd.,4
2.85 Crore,3,4,120 Sq. Yd.,4
1.15 Crore,3,3,161 Sq. Yd.,4
69 Lakh,3,3,123 Sq. Yd.,4
1.3 Crore,3,3,150 Sq. Yd.,4
1.1 Crore,3,3,183 Sq. Yd.,4
1.55 Crore,3,3,120 Sq. Yd.,4
95 Lakh,N/A,N/A,140 Sq. Yd.,4
5.35 Crore,5,5,240 Sq. Yd.,4
5.5 Crore,6,6,240 Sq. Yd.,4
22 Lakh,1,1,44 Sq. Yd.,4
1.7 Crore,3,3,139 Sq. Yd.,4
55 Lakh,2,2,100 Sq. Yd.,4
1.3 Crore,2,2,106 Sq. Yd.,3
2 Crore,3,3,183 Sq. Yd.,3
85 Lakh,2,2,83 Sq. Yd.,3
95 Lakh,2,2,83 Sq. Yd.,3
2 Crore,3,3,172 Sq. Yd.,3
1.17 Crore,2,2,100 Sq. Yd.,3
1.2 Crore,2,2,117 Sq. Yd.,3
2.25 Crore,3,3,133 Sq. Yd.,3
90 Lakh,2,2,83 Sq. Yd.,3
2.1 Crore,3,3,167 Sq. Yd.,3
1.45 Crore,4,4,178 Sq. Yd.,3
2.25 Crore,3,3,183 Sq. Yd.,3
50 Lakh,2,2,94 Sq. Yd.,3
46 Lakh,2,2,78 Sq. Yd.,3
77 Lakh,2,2,106 Sq. Yd.,3
1.95 Crore,3,3,178 Sq. Yd.,3
1.25 Crore,2,2,106 Sq. Yd.,3
59 Lakh,2,2,117 Sq. Yd.,3
87 Lakh,2,2,106 Sq. Yd.,3
80 Lakh,3,3,120 Sq. Yd.,3
1 Crore,2,2,100 Sq. Yd.,3
1.35 Crore,2,2,139 Sq. Yd.,3
80 Lakh,3,3,122 Sq. Yd.,3
59 Lakh,2,2,106 Sq. Yd.,3
90 Lakh,2,2,100 Sq. Yd.,3
1.9 Crore,3,4,186 Sq. Yd.,2
1.15 Crore,2,2,132 Sq. Yd.,2
95 Lakh,2,2,101 Sq. Yd.,2
1 Crore,2,2,101 Sq. Yd.,2
2.39 Crore,4,5,120 Sq. Yd.,2
92 Lakh,3,3,130 Sq. Yd.,2
1.75 Crore,4,4,120 Sq. Yd.,2
2.85 Crore,4,5,120 Sq. Yd.,2
1.8 Crore,3,3,178 Sq. Yd.,2
56 Lakh,1,1,50 Sq. Yd.,2
1.15 Crore,2,2,132 Sq. Yd.,2
1.2 Crore,2,3,117 Sq. Yd.,2
1.8 Crore,3,3,156 Sq. Yd.,2
5.45 Crore,6,6,240 Sq. Yd.,2
4.75 Crore,6,6,240 Sq. Yd.,2
2.35 Crore,4,5,120 Sq. Yd.,2
4.79 Crore,6,6,240 Sq. Yd.,2
5.1 Crore,7,6,220 Sq. Yd.,2
2.5 Crore,4,6,120 Sq. Yd.,2
70 Lakh,2,2,78 Sq. Yd.,2
70 Lakh,2,2,83 Sq. Yd.,2
80 Lakh,2,2,153 Sq. Yd.,2
1.5 Crore,2,2,144 Sq. Yd.,2
3.25 Crore,7,6,120 Sq. Yd.,2
1.24 Crore,2,2,139 Sq. Yd.,2
8.05 Crore,4,5,350 Sq. Yd.,2
7.75 Crore,4,4,350 Sq. Yd.,2
9.63 Crore,5,5,500 Sq. Yd.,2
11 Crore,5,5,500 Sq. Yd.,2
9.6 Crore,5,5,500 Sq. Yd.,2
10.3 Crore,5,6,500 Sq. Yd.,2
10.5 Crore,5,4,500 Sq. Yd.,2
8 Crore,4,5,350 Sq. Yd.,2
10.9 Crore,5,5,500 Sq. Yd.,2
3.25 Crore,6,7,120 Sq. Yd.,2
7.8 Crore,4,5,350 Sq. Yd.,2
10.15 Crore,5,5,500 Sq. Yd.,2
2.7 Crore,3,3,120 Sq. Yd.,2
46.2 Lakh,2,2,60 Sq. Yd.,2
1.12 Crore,3,3,120 Sq. Yd.,2
95 Lakh,2,2,89 Sq. Yd.,2
8.4 Crore,4,5,350 Sq. Yd.,2
1.45 Crore,3,3,156 Sq. Yd.,2
1.05 Crore,2,3,117 Sq. Yd.,2
74 Lakh,2,2,78 Sq. Yd.,2
60 Lakh,2,2,78 Sq. Yd.,2
10.5 Crore,5,5,500 Sq. Yd.,2
1.2 Crore,2,4,120 Sq. Yd.,2
12.5 Crore,5,5,500 Sq. Yd.,2
3.25 Crore,3,4,160 Sq. Yd.,2
22 Lakh,1,1,44 Sq. Yd.,1
